"FID","TURN","source","target"
"51_NLP_31_A_conv.json","2","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client: Hi there! Good afternoon!
Answer: ","greet"
"51_NLP_31_A_conv.json","4","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; greet; express_interest}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client: Hi there! Good afternoon!
Counselor: Good afternoon! How are you doing today?
Client: I'm doing okay, but I've been having some concerns about my diabetes management and medications.
Answer: ","ask_concerns"
"51_NLP_31_A_conv.json","6","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; express_interest; ask_concerns; express_interest}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Good afternoon! How are you doing today?
Client: I'm doing okay, but I've been having some concerns about my diabetes management and medications.
Counselor: What specific concerns do you have about your diabetes management and medications?
Client: Could the significant weight loss I'm experiencing be caused by the diabetes medication dapagliflozin (Forxiga), even though I can still eat well?
Answer: ","provide_insulin_information"
"51_NLP_31_A_conv.json","8","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {ask_concerns; express_interest; provide_insulin_information; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: What specific concerns do you have about your diabetes management and medications?
Client: Could the significant weight loss I'm experiencing be caused by the diabetes medication dapagliflozin (Forxiga), even though I can still eat well?
Counselor: Yes, dapagliflozin can cause weight loss, but it's important to note that different diabetes medications, including insulin, work through different mechanisms and can have varying effects on individuals.
Client: Are the numerous medications I'm taking potentially harmful to my kidneys, and should I consider stopping dapagliflozin to see if my condition changes?
Answer: ","ask_concerns"
"51_NLP_31_A_conv.json","10","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {provide_insulin_information; request_information; ask_concerns; provide_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Yes, dapagliflozin can cause weight loss, but it's important to note that different diabetes medications, including insulin, work through different mechanisms and can have varying effects on individuals.
Client: Are the numerous medications I'm taking potentially harmful to my kidneys, and should I consider stopping dapagliflozin to see if my condition changes?
Counselor: Have your HbA1c levels and overall diabetes management shown good progress?
Client: My HbA1c is around 8.3 mmol/L, and my blood sugar levels are not well-controlled despite my efforts.
Answer: ","propose"
"51_NLP_31_A_conv.json","12","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {ask_concerns; provide_information; propose; neutral_to_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Have your HbA1c levels and overall diabetes management shown good progress?
Client: My HbA1c is around 8.3 mmol/L, and my blood sugar levels are not well-controlled despite my efforts.
Counselor: Given that your blood sugar levels are not well-controlled, trying insulin might be beneficial as it directly supplements your body's natural insulin production.
Client: I see, but I'm still concerned about starting insulin.
Answer: ","logical_appeal"
"51_NLP_31_A_conv.json","14","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {propose; neutral_to_information; logical_appeal; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Given that your blood sugar levels are not well-controlled, trying insulin might be beneficial as it directly supplements your body's natural insulin production.
Client: I see, but I'm still concerned about starting insulin.
Counselor: Insulin could be a more effective option where other medications have not been effective, directly helping to manage your blood sugar levels.
Client: What are the potential side effects of starting insulin treatment?
Answer: ","provide_insulin_information"
"51_NLP_31_A_conv.json","16","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {logical_appeal; request_information; provide_insulin_information; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Insulin could be a more effective option where other medications have not been effective, directly helping to manage your blood sugar levels.
Client: What are the potential side effects of starting insulin treatment?
Counselor: Some potential side effects of insulin include low blood sugar (hypoglycemia), weight gain, and injection site reactions, but these can be managed with proper guidance and monitoring.
Client: I still feel hesitant about starting insulin due to these concerns.
Answer: ","emotion_appeal"
"51_NLP_31_A_conv.json","18","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {provide_insulin_information; deny_to_try; emotion_appeal; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Some potential side effects of insulin include low blood sugar (hypoglycemia), weight gain, and injection site reactions, but these can be managed with proper guidance and monitoring.
Client: I still feel hesitant about starting insulin due to these concerns.
Counselor: I understand your concerns, but starting insulin could significantly improve your quality of life by helping you gain better control over your diabetes.
Client: I appreciate the information, but I'm still not ready to try insulin yet.
Answer: ","ask_concerns"
"51_NLP_31_A_conv.json","20","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {emotion_appeal; deny_to_try; ask_concerns; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: I understand your concerns, but starting insulin could significantly improve your quality of life by helping you gain better control over your diabetes.
Client: I appreciate the information, but I'm still not ready to try insulin yet.
Counselor: What specific concerns do you have that are making you hesitant to start insulin?
Client: I am worried about the potential side effects and how they might impact my daily life.
Answer: ","offer_relief"
